=== 2026-09-17 필터 통계 ===
  수집               578건
  중복 제거            4건
  지역 제외            298건
  상태 제외            0건
  고용형태 제외          48건
  경력구분 제외          50건
  제외어              3건
  키워드 미매칭          1건
  트랙A 매칭           0건
  트랙B 매칭           1건
----------------------------------------
[MOEF][강원] 근로복지공단 | [정선병원] 기술기능직(기술_안전관리) 채용 공고 | 보건.의료,환경.에너지.안전 | 신입+경력 | 정규직 | 지역외: 강원
[MOEF][서울] 한국전력공사 | 2026년 제1차 장애인 체험형 인턴 모집공고[서울본부] | 경영.회계.사무 | 신입 | 청년인턴(체험형) | 고용형태 제외: 청년인턴(체험형)
[MOEF][서울,부산,제주] 한국국제교류재단 | 한국국제교류재단 일반직 신규 채용 공고 | 경영.회계.사무,문화.예술.디자인.방송,정보통신 | 신입 | 정규직 | 경력구분 제외: 신입 단독
[MOEF][경남] 국민연금공단 | [국민연금공단 부산지역본부] 부산지역본부 양산지사 공무직(환경관리직(가), 보안직(가))  | 경비.청소 | 신입 | 무기계약직 | 지역외: 경남
[MOEF][전남광주] 국립공원공단 | [다도해해상]2026년 다도해해상 한시인력[탐방로예약제 운영] 직원 채용 | 환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 전남광주
[MOEF][울산] 기초과학연구원 | 제2026-3회 IBS 융합과학 연구클러스터 연구직군 채용공고 | 연구 | 신입+경력 | 비정규직 | 지역외: 울산
[MOEF][전남광주] 국립공원공단 | [다도해해상]2026년 다도해해상 한시인력[환경관리(환경미화)] 직원 채용(3차) | 환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 전남광주
[MOEF][제주] 한전KPS(주) | 한전KPS(주)남제주사업소 복합ST&1,2HRSG 계획예방정비공사 단기노무원 채용 공고 | 기계 | 신입+경력 | 비정규직 | 지역외: 제주
[MOEF][대전] 기초과학연구원 | 2026-9회 의생명 및 화학 연구클러스터(시냅스 뇌질환 연구단) 연구기술직 채용 공고 | 연구 | 신입+경력 | 비정규직 | 지역외: 대전
[MOEF][전북] (재)우체국물류지원단 | 우체국물류지원단 광주지사 기간제(소포직, 육아휴직대체) 채용 공고 | 경영.회계.사무,운전.운송 | 신입+경력 | 비정규직 | 지역외: 전북
[MOEF][서울,인천,세종] 한국중부발전(주) | 2026년도 제3차 4직급 신입직원 채용공고 | 경영.회계.사무,건설,화학,전기.전자,정보통신,환경.에너지.안전 | 신입 | 정규직 | 경력구분 제외: 신입 단독
[MOEF][대구] 경북대학교병원 | 칠곡경북대학교병원 2026년 9월 4차 임시직원 채용공고(약사, 간호사, 업무보조, 작업치 | 보건.의료 | 신입+경력 | 비정규직 | 지역외: 대구
[MOEF][세종] KDI국제정책대학원 | [KDI국제정책대학원] 2026년 제9차 위촉직 채용(교육행정, 연구행정, 기계설비·안전관 | 사업관리,교육.자연.사회과학,기계 | 신입+경력 | 비정규직 | 지역외: 세종
[MOEF][세종] 축산물품질평가원 | 2026년 하반기 신규직원 기간제 근로자(장애) 채용공고 | 사업관리,경영.회계.사무,농림어업 | 신입 | 비정규직 | 지역외: 세종
[MOEF][경기,강원] 축산물품질평가원 | 2026년 하반기 신규직원 운영직(다급) 채용공고 | 사업관리,경영.회계.사무,농림어업 | 신입 | 무기계약직 | 경력구분 제외: 신입 단독
[MOEF][세종,경기,강원] 축산물품질평가원 |  2026년 하반기 신규직원 체험형 청년인턴(장애) 채용공고 | 사업관리,경영.회계.사무,농림어업 | 신입 | 청년인턴(체험형) | 고용형태 제외: 청년인턴(체험형)
[MOEF][세종] 축산물품질평가원 | 2026년 하반기 신규직원 기간제 근로자(공인노무사) 채용공고 | 사업관리,경영.회계.사무,농림어업 | 신입 | 비정규직 | 지역외: 세종
[MOEF][세종] 축산물품질평가원 | 2026년 하반기 신규직원 보훈특별고용(행정직) 채용공고 | 사업관리,경영.회계.사무,농림어업 | 신입 | 청년인턴(채용형) | 지역외: 세종
[MOEF][세종] 축산물품질평가원 | 2026년 하반기 신규직원 채용형 청년인턴(행정직) 채용 | 사업관리,경영.회계.사무,농림어업 | 신입 | 청년인턴(채용형) | 지역외: 세종
[MOEF][부산,대구,인천] 축산물품질평가원 | 2026년 하반기 신규직원 보훈특별고용(축산물품질평가직) 채용 | 농림어업 | 신입 | 청년인턴(채용형) | 고용형태 제외: 청년인턴(채용형)
[MOEF][부산,대구,인천] 축산물품질평가원 | 2026년 하반기 신규직원 채용형 청년인턴(축산물품질평가직) 채용공고 | 농림어업 | 신입 | 청년인턴(채용형) | 고용형태 제외: 청년인턴(채용형)
[MOEF][세종] 중소기업기술정보진흥원 | 2026년 제2차 공무직(보훈, 장애) 채용 공고 | 사업관리,경영.회계.사무 | 신입 | 무기계약직 | 지역외: 세종
[MOEF][서울,부산,대구] 한국토지주택공사 | 2026년 하반기 한국토지주택공사 신입사원(5·6급) 공채 | 사업관리,경영.회계.사무,법률.경찰.소방.교도.국방,사회복지.종교,문화.예술.디자인.방송,영업판매,건설,기계,화학,전기.전자,정보통신,환경.에너지.안전 | 신입 | 청년인턴(채용형) | 고용형태 제외: 청년인턴(채용형)
[MOEF][강원] 국립공원공단 | [설악산] 설악산국립공원 기간제 직원[환경관리(한시인력)] 채용 공고 | 경비.청소 | 신입+경력 | 비정규직 | 지역외: 강원
[MOEF][전남광주] 한국보훈복지의료공단 | [광주보훈병원] 계약직 보건직(치과위생사) 직원 채용 공고 | 보건.의료 | 신입+경력 | 비정규직 | 지역외: 전남광주
[MOEF][경남] 한전KDN | 한전KDN(주) 진주지사 통신분야 비정규직 모집공고 | 전기.전자,정보통신 | 신입+경력 | 비정규직 | 지역외: 경남
[MOEF][서울] 무역안보관리원 | 2026년도 하반기 무역안보관리원 무기계약직 신입직원 채용 공고 | 사업관리,경영.회계.사무 | 신입 | 무기계약직 | 경력구분 제외: 신입 단독
[MOEF][서울] 무역안보관리원 | 2026년도 하반기 무역안보관리원 정규직 신입직원 채용 공고 | 사업관리,경영.회계.사무,전기.전자 | 신입 | 정규직 | 경력구분 제외: 신입 단독
[MOEF][대전] 한국보훈복지의료공단 | [대전보훈병원] 정규직(업무지원직(완화의료)) 및 계약직(간호조무사, 일반기능직(영선))  | 보건.의료 | 신입+경력 | 무기계약직,비정규직 | 지역외: 대전
[MOEF][대전] 한국보훈복지의료공단 | [대전보훈병원] 전문의(외과) 채용 공고 | 보건.의료 | 신입+경력 | 비정규직 | 지역외: 대전
[MOEF][경기] 한국장애인개발원 | [제2026-105호]2026년도 제5차 경기도장애아동·발달장애인지원센터(장애아동지원팀)  | 사회복지.종교 | 신입+경력 | 청년인턴(체험형) | 고용형태 제외: 청년인턴(체험형)
[MOEF][서울,대전] 한국연구재단 | 2026년 제2차 한국연구재단 직원 채용(연구직, 공무직(사무지원직)) | 사업관리,경영.회계.사무 | 신입 | 정규직,무기계약직,청년인턴(채용형) | 경력구분 제외: 신입 단독
[MOEF][전북] 국립공원공단 | [내장산] 2026년 내장산국립공원 기간제(수익시설) 직원 채용 공고 | 이용.숙박.여행.오락.스포츠,환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 전북
[MOEF][세종] 한국환경연구원 | [한국환경연구원] 임시직(일반행정) 채용 공고(인사관리실 대체인력)(0914) | 경영.회계.사무 | 신입+경력 | 비정규직 | 지역외: 세종
[MOEF][강원] 한전KPS(주) | 한전KPS(주)강원충북전력지사 단기노무원(동해지점 송전업무정비보조) 채용 공고(23차)  | 전기.전자,환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 강원
[MOEF][충북] 주택관리공단(주) | 채용형 인턴 채용공고(주택관리공단 충북지사) | 건설,기계,전기.전자,환경.에너지.안전 | 신입+경력 | 청년인턴(채용형) | 지역외: 충북
[MOEF][울산] 한국전력국제원자력대학원대학교 | [한국전력국제원자력대학원대학교] 체험형 청년인턴 채용 | 경영.회계.사무 | 신입 | 청년인턴(체험형) | 지역외: 울산
[MOEF][전북] 국립공원공단 | [내장산] 2026년 내장산국립공원 가을성수기 국립공원지킴이(한시인력) 채용 공고 | 경비.청소,건설 | 신입+경력 | 비정규직 | 지역외: 전북
[MOEF][서울] 근로복지공단 | [서울서부지사] 공무직(시설방호원) 채용 공고 | 경비.청소 | 신입 | 무기계약직 | 경력구분 제외: 신입 단독
[MOEF][전남광주,경북] 국토안전관리원 | 2026년도 국토안전관리원 제2차 직무중심 채용 공고(무기계약직) | 경비.청소,기계,전기.전자 | 신입 | 무기계약직 | 지역외: 전남광주,경북
[MOEF][강원,충북,전남] 국토안전관리원 | 2026년도 국토안전관리원 제2차 직무중심 채용 공고(일반직·전문직) | 사업관리,경영.회계.사무,교육.자연.사회과학,운전.운송,건설,정보통신 | 신입+경력 | 정규직,청년인턴(채용형) | 지역외: 강원,충북,전남광주,경북,경남
[MOEF][전남광주,경북] 국립공원공단 | [보전원] 국립공원야생생물보전원 국립공원지킴이(한시인력) 2차 채용 | 경비.청소,건설 | 신입+경력 | 비정규직 | 지역외: 전남광주,경북
[MOEF][충북] 한국교육과정평가원 | 2026년 제2차 한국교육과정평가원 연구직 채용 공고 | 연구 | 신입 | 정규직 | 지역외: 충북
[MOEF][전남광주] 대한적십자사 | [전남광주혈액원] 비정규직 기간제(한시적) 사무보조원 채용 공고 | 경영.회계.사무 | 신입 | 비정규직 | 지역외: 전남광주
[MOEF][제주] 한전KPS(주) | 한전KPS(주)제주사업소 내연 2호기 정지작업 단기노무원 채용공고 | 기계 | 신입+경력 | 비정규직 | 지역외: 제주
[MOEF][전북] 태권도진흥재단 | 2026년 3차 기간제근로자(육아휴직 대체) 채용 공고 | 이용.숙박.여행.오락.스포츠 | 신입 | 비정규직 | 지역외: 전북
[MOEF][강원] 근로복지공단 | [정선병원] 기간제(물리치료사) 채용 공고 | 보건.의료 | 신입 | 비정규직 | 지역외: 강원
[MOEF][서울,경남] 한국저작권위원회 | 한국저작권위원회 2026년 제3차 직원 채용 | 사업관리,경영.회계.사무,문화.예술.디자인.방송,정보통신 | 신입 | 정규직,비정규직 | 경력구분 제외: 신입 단독
[MOEF][전남광주] 한국전력공사 | 기간제근로자(대체인력) 채용공고[광주전남본부] | 전기.전자 | 신입 | 비정규직 | 지역외: 전남광주
[MOEF][대구] 한국보훈복지의료공단 | [대구보훈병원] 의사직(호흡기내과, 순환기내과, 핵의학과, 응급의학과, 외과, 비뇨의학과, | 보건.의료 | 신입+경력 | 비정규직 | 지역외: 대구
[MOEF][경북] 국립공원공단 | [주왕산] 2026년도 주왕산국립공원 한시인력(환경관리) 직원 추가 채용 | 경비.청소 | 신입+경력 | 비정규직 | 지역외: 경북
[MOEF][경남] 근로복지공단 | [창원병원] 기간제 의사(영상의학과) 채용 공고 | 보건.의료 | 신입 | 비정규직 | 지역외: 경남
[MOEF][경남] 근로복지공단 | [창원병원] 기간제 의사(응급실전담의) 채용 공고 | 보건.의료 | 신입 | 비정규직 | 지역외: 경남
[MOEF][경남] 근로복지공단 | [창원병원] 별정직 의사(직업환경의학과) 채용 공고 | 보건.의료 | 신입 | 정규직 | 지역외: 경남
[MOEF][경남] 근로복지공단 | [창원병원] 별정직 의사(정형외과) 채용 공고 | 보건.의료 | 신입 | 정규직 | 지역외: 경남
[MOEF][울산] 근로복지공단 | [근로복지공단] 공단본부 장애인 청년(체험형)인턴 채용 공고 | 경영.회계.사무 | 신입 | 청년인턴(체험형) | 지역외: 울산
[MOEF][부산] 한국환경공단 | 한국환경공단 부산울산경남환경본부 수탁폐수전자인계인수관리시스템 운영 기간제근로자(촉탁라급)  | 환경.에너지.안전 | 신입+경력 | 비정규직 | 지역외: 부산
[MOEF][충북] 한국장애인개발원 | [제2026-106호] 2026년도 제6차 충청북도장애아동발달장애인지원센터(장애아동지원팀) | 사회복지.종교 | 신입+경력 | 청년인턴(채용형) | 지역외: 충북
[MOEF][전북] 한국출판문화산업진흥원 | 2026년 하반기 제2차 직원 공개경쟁 및 제한경쟁 채용 공고 | 사업관리,경영.회계.사무,문화.예술.디자인.방송 | 신입+경력 | 무기계약직,비정규직 | 지역외: 전북
[MOEF][경기] 분당서울대학교병원 | 분당서울대학교병원 신입(업무지원직) 직원 채용 공고 | 보건.의료 | 신입 | 정규직 | 경력구분 제외: 신입 단독
